[Mon Aug 04 18:49:10.555231 2025] [php:error] [pid 1716:tid 1188] [client ::1:56260] script 'C:/MyServer/www/info.php' not found or unable to stat, referer: http://localhost/
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_connect(): Implicitly marking parameter $role as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 253
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_connect(): Implicitly marking parameter $sync as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 253
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_modify_user(): Implicitly marking parameter $first_name as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 406
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_modify_user(): Implicitly marking parameter $middle_name as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 406
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_modify_user(): Implicitly marking parameter $last_name as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 406
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_pconnect(): Implicitly marking parameter $database as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 483
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_pconnect(): Implicitly marking parameter $username as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 483
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_pconnect(): Implicitly marking parameter $password as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 483
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_pconnect(): Implicitly marking parameter $charset as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 483
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_pconnect(): Implicitly marking parameter $buffers as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 483
[Tue Aug 05 01:02:28.242176 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\ibase_pconnect(): Implicitly marking parameter $dialect as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\ibase.php on line 483
